section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
hmp_airskin_gtdb_source_abundance_6sample	Sylph r232 GTDB source-abundance samples0,5,6,11,22,28	0,5,6,11,22,28	0.9366610559371291	4.4316408048276035	0.9980355730682101	TP/FP/FN=134/10/7	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample0_5_6_11_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_sample13	MinCO current-code GTDB source-abundance sample13	13	0.925	54.74798404447627	0.9105244185423925	TP/FP/FN=37/3/3	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin13_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample13	Sylph r232 GTDB source-abundance sample13	13	0.9876543209876543	8.344358782582221	0.997402892612516	TP/FP/FN=40/1/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin13_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample15	MinCO current-code GTDB source-abundance sample15	15	0.9130434782608695	8.8962798747502	0.9995246530616627	TP/FP/FN=21/1/3	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin15_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample15	Sylph r232 GTDB source-abundance sample15	15	0.9387755102040817	0.9784642891169845	0.999984242699932	TP/FP/FN=23/2/1	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin15_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample16	MinCO current-code GTDB source-abundance sample16	16	1.0	6.914589514693733	0.9998353757011106	TP/FP/FN=10/0/0	abundance_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin16_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample16	Sylph r232 GTDB source-abundance sample16	16	1.0	1.288588517294444	0.9999595863424358	TP/FP/FN=10/0/0	same_F1_better_abundance	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin16_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample17	MinCO current-code GTDB source-abundance sample17	17	0.773109243697479	26.525180643112705	0.996009577889128	TP/FP/FN=46/27/0	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin17_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample17	Sylph r232 GTDB source-abundance sample17	17	0.9787234042553191	1.8725768878823958	0.9999665749948404	TP/FP/FN=46/2/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin17_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample18	MinCO current-code GTDB source-abundance sample18	18	0.9433962264150944	12.023034824053608	0.9947328417202751	TP/FP/FN=25/1/2	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin18_r232_source_abundance_summary.tsv
