panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.50	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.05	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	23.012521628201398	17.304711401806212	0.9815489476961646	0.9877878450744566	23.012521628201398	0.9815489476961646	22.53852648257849	0.9809237855745335	0.4739951456229079	0.0006251621216311065
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.00	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	25.64100548419027	19.130941985484554	0.9816372596416434	0.9880006739820192	25.64100548419027	0.9816372596416434	22.53852648257849	0.9809237855745335	3.10247900161178	0.0007134740671098649
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.00	0,6	0.9195678271308523	0.9156626506024096	76	9	5	17.550789431991838	15.15050653109315	0.9814254742066582	0.9818557186942745	17.550789431991838	0.9814254742066582	48.986991106324496	0.8822766995655476	-31.436201674332658	0.0991487746411106
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.05	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.67962916418027	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.10	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.67962916418027	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.15	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.67962916418027	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.20	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.67962916418027	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.25	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.67962916418027	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
hmp_gastrooral_gtdb_source_abundance	exact_hit_abund_ge_0.30	0,6	0.9195678271308523	0.9156626506024096	76	9	5	18.888298721739755	16.67962916418027	0.9735837546473636	0.9738383115221816	18.888298721739755	0.9735837546473636	48.986991106324496	0.8822766995655476	-30.09869238458474	0.09130705508181602
