panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	official_L1_kind	official_L1_pp	Pearson_union	Pearson_truth_only	added_mass_before_norm	selected_candidates
hmp_airskin_gtdb_source_abundance	25	zero_mass	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.876829864906973	14.82259629649051	union	23.876829864906973	0.9844760524405716	0.9924411161891386	0.0	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.05	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.87363582895311	14.81993552348464	union	23.87363582895311	0.9844791592841918	0.9924436907176132	5.89e-05	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.1	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.87044216921235	14.817275063880885	union	23.87044216921235	0.9844822098996981	0.9924462034538598	0.0001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha1	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha2	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.82652637144693	14.793574437786184	union	23.82652637144693	0.9845564248854469	0.992495824151117	0.002356	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha5	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	24.337452737631928	15.336236333833828	union	24.337452737631928	0.9845077676292946	0.9923915488043452	0.00589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha10	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	25.207942599401456	16.259126089471955	union	25.207942599401456	0.9839742339381039	0.9917181576798897	0.01178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_cap0.001	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.822652733335673	14.77746435329923	union	23.822652733335673	0.9845211705653361	0.9924764398062493	0.001	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_cap0.003	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_cap0.005	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_cap0.01	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_cap0.02	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_cap0.05	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25_cap0.001	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25_cap0.003	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25_cap0.005	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25_cap0.01	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25_cap0.02	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.25_cap0.05	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.86086344660418	14.80929556492886	union	23.86086344660418	0.9844910243311282	0.992453370830119	0.0002945	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5_cap0.001	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5_cap0.003	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5_cap0.005	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5_cap0.01	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5_cap0.02	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha0.5_cap0.05	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.84490642698592	14.796002662886506	union	23.84490642698592	0.9845045900590749	0.9924640798793226	0.000589	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha1_cap0.001	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.822652733335673	14.77746435329923	union	23.822652733335673	0.9845211705653361	0.9924764398062493	0.001	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha1_cap0.003	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha1_cap0.005	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha1_cap0.01	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
hmp_airskin_gtdb_source_abundance	25	normalized_depth_alpha1_cap0.02	49	77	46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.813020550627197	14.769440319722737	union	23.813020550627197	0.9845275008034957	0.9924808573607387	0.001178	1
