panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_delta_F1	min_delta_F1	worsened_samples	improved_samples	mean_official_L1_pp	mean_delta_official_L1_pp	max_worse_official_L1_pp	mean_official_Pearson	mean_delta_official_Pearson	current_panel_mean_F1	current_panel_pooled_F1	current_panel_L1_pp	current_panel_Pearson	delta_panel_mean_F1	delta_panel_pooled_F1	delta_panel_L1_pp	delta_panel_Pearson
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_zipaf_lt_0.2	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	0.0	0.0	0	0	13.767837122926558	0.0	0.0	0.987976607726638	0.0	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	0.0	0.0	0.0	0.0
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_zipaf_lt_0.3	5,6,7	0.8906797186455419	0.8736717827626919	370	10	97	-0.003159041394335501	-0.009477124183006502	1	0	13.685503263482039	-0.08233385944451872	0.0	0.987979890664333	3.282937695026078e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.0031590413943355378	-0.003975276060837585	-0.08233385944451932	3.282937695026078e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_zipaf_lt_0.4	5,6,7	0.8855892035513476	0.8693586698337292	366	9	101	-0.008249556488529727	-0.009477124183006502	3	0	14.17022664396813	0.40238952104157527	0.8567930804124373	0.9879125533782193	-6.405434841871838e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.008249556488529763	-0.008288388989800222	0.402389521041572	-6.405434841871838e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_breadth_lt_0.05	5,6,7	0.8890828677839852	0.8717339667458432	367	8	100	-0.004755892255892273	-0.014267676767676818	1	0	13.71321102322261	-0.05462609970394716	0.0	0.9879773630753365	7.553486985889535e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.004755892255892236	-0.0059130920776861995	-0.05462609970394716	7.553486984779312e-07
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_breadth_lt_0.1	5,6,7	0.870385234365377	0.8484848484848484	350	8	117	-0.02345352567450043	-0.040826873385012896	2	0	13.678766191626616	-0.08907093129994041	0.0082570659541652	0.9880033917216885	2.678399505055366e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.02345352567450043	-0.02916221033868105	-0.08907093129994159	2.678399505051665e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_breadth_lt_0.2	5,6,7	0.8566203550504964	0.8314883148831489	338	8	129	-0.03721840498938104	-0.0615713346482577	2	0	13.862423628525987	0.09458650559942801	0.2065900194613164	0.988038773034624	6.216530798600998e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.037218404989381004	-0.04615874394038055	0.0945865055994286	6.216530798597297e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_breadth_lt_0.3	5,6,7	0.8468989286813375	0.8213399503722084	331	8	136	-0.04693983135853974	-0.06865079365079374	3	0	14.30888925222232	0.5410521292957625	0.8623594709366458	0.9880261742418767	4.956651523879696e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.04693983135853985	-0.05630710845132103	0.5410521292957622	4.956651523868594e-05
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_realaf_lt_0.05	5,6,7	0.8944145459097809	0.8783943329397875	372	8	95	0.0005757858699034779	0.0	0	1	13.717064870967533	-0.050772251959022796	0.0	0.9879774356755391	8.279489012164021e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	0.0005757858699034779	0.0007472741162580787	-0.05077225195902457	8.279489011053798e-07
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_realaf_lt_0.1	5,6,7	0.8847722439271735	0.8663484486873507	363	8	104	-0.00906651611270389	-0.01752136752136746	2	0	13.67889774543618	-0.08893937749037899	0.022887215048438492	0.987984365863818	7.758137180013946e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.009066516112703926	-0.011298610136178722	-0.08893937749037839	7.758137180013946e-06
cami2_toy_mouse_gut	drop_prob_lt_0.7_and_realaf_lt_0.2	5,6,7	0.8658542314906595	0.8428745432399513	346	8	121	-0.02798452854921792	-0.04423388402980244	2	0	13.72248346115216	-0.045353661774395114	0.08221282041077416	0.9880112973312701	3.468960463219132e-05	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.027984528549217846	-0.03477251558357819	-0.04535366177439748	3.4689604632154314e-05
