panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_official_L1_pp	mean_Pearson_union	mean_added_mass_before_norm
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.535363444577442	0.9809292694583854	4.6631250000000005e-05
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.53220157484721	0.9809343932403761	9.326250000000001e-05
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.523994953181585	0.9809460928028882	0.00021871874999999997
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	raw_abundance_scaled_alpha0.25_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
