panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta	method
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.24107425618603529	4.672457864529633e-05	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.23708564435957946	2.1642053098736014e-05	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.18044886425776863	7.76032291149864e-06	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-1.1240906611204267	0.0002636840688433617	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.13230969046367846	0.00013124137606457253	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-1.0445112164895178	0.0027302117852570085	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-0.843995938066044	0.0007663372163262405	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-2.4462634621449055	0.007542314118917259	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.06819200781566792	6.0572251554313894e-05	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.04998365057308973	8.05248845910933e-05	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.002110364204055415	0.0002577085195655249	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-1.2343786708778204	0.0028303529360359514	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.4615528850652524	0.0012158135865362185	genus_xny_a0.15
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.14543040422776166	-0.0005356920521432107	genus_xny_a0.15
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.36835834291281344	0.002973549489679983	genus_xny_a0.15
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.3604516992112128	0.0001474939558435695	genus_xny_a0.25_cap0.005
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.12758318481140307	-0.00042499074776858325	genus_xny_a0.25_cap0.005
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	0.019184822225343012	-0.00017045761872924725	genus_xny_a0.25_cap0.005
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.2139043957436968	0.0005025515917229662	genus_xny_a0.25_cap0.005
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.17433755442938548	0.0006358044440976096	genus_xny_a0.25_cap0.005
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-1.405164663904685	0.0008039224940219469	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-0.8385322146423135	0.0017169481384879948	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.6543682062985354	0.0002391601786195796	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.408982816650699	2.8854872328953896e-05	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-1.3042116430070543	0.0004981038952731609	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	0.22047933832302924	-6.787075957503941e-05	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.9494742433848771	-0.004158451380756656	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-1.8034372698223393	0.0007626646040963525	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-2.460161483151598	0.00192302245403575	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.22948079177677627	-0.0003395893207547296	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.03925777981450551	0.0016802246019942402	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-1.2506302092347283	0.004390883173508109	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	14	compared	0	0	0	0.0	-0.36990879580028313	7.41819026744972e-05	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	15	compared	0	0	0	0.0	-0.3951427405992902	3.4822818692492596e-05	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	16	compared	0	0	0	0.0	-0.30074810709632604	1.2503844268429987e-05	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	17	compared	0	0	0	0.0	-1.6858259682295085	0.0003872775028960218	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	18	compared	0	0	0	1.1102230246251565e-16	-0.18236812622439658	0.00021574343627628334	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	19	compared	0	0	0	0.0	-1.6065348807958415	0.004319837867809206	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	20	compared	0	0	0	0.0	-1.1743808757884722	0.0011841658329047045	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	21	compared	0	0	0	0.0	-1.5511429578314235	0.004575468302219776	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	22	compared	0	0	0	0.0	-0.11365334635943114	9.343545644913132e-05	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	23	compared	0	0	0	0.0	-0.08330608428846631	0.0001105239094181254	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	24	compared	0	0	0	0.0	0.0035172736734292442	0.0004020415633125829	genus_xny_a0.25_cap0.005
hmp_airskin_gtdb_source_abundance	25	compared	0	0	0	0.0	-1.8340947224980972	0.004053195205149018	genus_xny_a0.25_cap0.005
