panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule	delta_L1_pp	delta_Pearson
hmp_airskin_gtdb_source_abundance	14	wrapper_guarded_genus_hit_breadth_a002	0.8999999999999999	13.675946201146175	0.9989986114585423	99.27007299270075	9.496706799265214	0.7299270072992409	3.44931239458172	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8476731214403671	16.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.5716264977453527	0.00010579327821058637
hmp_airskin_gtdb_source_abundance	15	current_selected_abundance	0.9583333333333334	8.654145647602451	0.9996229749681823	99.9724243697674	8.259055266958912	0.02757563023261003	0.36751475041093035												0.0	0.0
hmp_airskin_gtdb_source_abundance	15	wrapper_guarded_genus_hit_breadth_a002	0.9583333333333334	8.311790351682902	0.9996479066689066	99.9724243697674	7.923958304498284	0.02757563023261003	0.3602564169520097	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9216853403983881	15.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.3423552959195497	2.4931700724262207e-05
hmp_airskin_gtdb_source_abundance	16	current_selected_abundance	1.0	6.914589514693804	0.9998353757011105	100.0	6.914589514693806	0.0	0.0												0.0	0.0
hmp_airskin_gtdb_source_abundance	16	wrapper_guarded_genus_hit_breadth_a002	1.0	6.439757505912951	0.9998553924462802	100.0	6.439757505912951	0.0	0.0	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8873258813092646	6.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.4748320087808535	2.00167451697153e-05
hmp_airskin_gtdb_source_abundance	17	current_selected_abundance	0.773109243697479	26.525180643113	0.9960095778891278	100.00000000000004	17.66855717819099	0.0	8.856623464922018												0.0	0.0
hmp_airskin_gtdb_source_abundance	17	wrapper_guarded_genus_hit_breadth_a002	0.773109243697479	26.03372148924008	0.996297590361993	100.00000000000004	17.29558508902423	0.0	8.738136400215849	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9172182117998726	47.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.4914591538729205	0.0002880124728651401
hmp_airskin_gtdb_source_abundance	18	current_selected_abundance	0.9629629629629629	11.41103974567027	0.9950982254305217	99.99185816380256	10.026673065209547	0.008141836197436556	1.3762248442632858												0.0	0.0
hmp_airskin_gtdb_source_abundance	18	wrapper_guarded_genus_hit_breadth_a002	0.9629629629629629	11.149121748116226	0.9953335034177556	99.99185816380256	9.782807013964922	0.008141836197436556	1.358172897953866	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.5017797000179521	13.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.2619179975540433	0.00023527798723388393
hmp_airskin_gtdb_source_abundance	19	current_selected_abundance	0.816793893129771	37.16496661201082	0.9640171703457461	99.12867060146388	26.279514231010907	0.8713293985361062	10.01412298246381												0.0	0.0
hmp_airskin_gtdb_source_abundance	19	wrapper_guarded_genus_hit_breadth_a002	0.816793893129771	36.48734545132908	0.9649708987438098	99.12867060146388	25.74558799620517	0.8713293985361062	9.870428056587786	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.8700365536249661	91.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.6776211606817455	0.0009537283980637357
hmp_airskin_gtdb_source_abundance	20	current_selected_abundance	0.8216216216216216	25.952986359054712	0.990482300426512	96.21106500952466	13.12311977175067	3.7889349904753336	9.040931596828715												0.0	0.0
