sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called
11	minco_unique_hit_mean_x_breadth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	63.552161165545876	63.552161165545876	0.7605545718736201	0.7605545718736201	
11	minco_split_normalized_depth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	24.88955214422737	24.88955214422737	0.9363652130210769	0.9363652130210769	
11	minco_split_relative_depth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	24.88955214422737	24.88955214422737	0.9363652130210769	0.9363652130210769	
11	minco_unique_normalized_depth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	63.63121941597482	63.63121941597482	0.7616856772402307	0.7616856772402307	
11	minco_unique_relative_depth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	63.63121941597482	63.63121941597482	0.7616856772402307	0.7616856772402307	
11	minco_max_split_unique_zip_p1	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436855	0.9390039844436855	
11	minco_split_unique_zip_geom_p1	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	33.155243446999286	33.155243446999286	0.9084316809634144	0.9084316809634144	
11	minco_probability_x_current_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	21.739375736049197	21.739375736049197	0.9384208176523788	0.9384208176523788	
11	minco_quality_xny_current_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.81937653362211	22.81937653362211	0.946009997144515	0.946009997144515	
11	minco_quality_breadth_current_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	24.753433344481408	24.753433344481408	0.9363998048772281	0.9363998048772281	
11	minco_quality_xny_breadth_current_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	27.504061264987712	27.504061264987712	0.9362347938646675	0.9362347938646675	
11	minco_quality_mutdiff_light_current_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.01023104362841	22.01023104362841	0.9421772447652954	0.9421772447652954	
11	minco_quality_mutdiff_strong_current_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	21.546193217924163	21.546193217924163	0.9500421460411815	0.9500421460411815	
11	minco_genus_realloc_current_raw_power_p0.75	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	32.65913862926328	32.65913862926328	0.9311170037308226	0.9311170037308226	
