panel	method	samples	sample_count	pooled_F1	mean_F1	mean_L1_union_pp	mean_Pearson_union	TP	FP	FN	rescued_TP	rescued_FP
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny100_breadth0.30	3,4,5	3	0.7040618955512573	0.700854498257502	44.57919101805288	0.9185036521265321	182	43	110	3	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny100_breadth0.50	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny250_breadth0.05	3,4,5	3	0.6967984934086628	0.6950377609195737	44.57919101805288	0.9186657757183513	185	54	107	6	13
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny250_breadth0.10	3,4,5	3	0.6967984934086628	0.6950377609195737	44.57919101805288	0.9186657757183513	185	54	107	6	13
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny250_breadth0.20	3,4,5	3	0.6943396226415095	0.692188987773292	44.57919101805288	0.9186657757183513	184	54	108	5	13
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny250_breadth0.30	3,4,5	3	0.7040618955512573	0.700854498257502	44.57919101805288	0.9185036521265321	182	43	110	3	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny250_breadth0.50	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.05	3,4,5	3	0.7090558766859345	0.7067017116948483	44.57919101805288	0.9185036521265321	184	43	108	5	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.10	3,4,5	3	0.7090558766859345	0.7067017116948483	44.57919101805288	0.9185036521265321	184	43	108	5	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.20	3,4,5	3	0.7090558766859345	0.7067017116948483	44.57919101805288	0.9185036521265321	184	43	108	5	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.20_depth2	3,4,5	3	0.7090558766859345	0.7067017116948483	44.57919101805288	0.9185036521265321	184	43	108	5	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.20_depth5	3,4,5	3	0.7040618955512573	0.700854498257502	44.57919101805288	0.9185036521265321	182	43	110	3	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.30	3,4,5	3	0.7040618955512573	0.700854498257502	44.57919101805288	0.9185036521265321	182	43	110	3	2
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny500_breadth0.30_depth2	3,4,5	3	0.7040618955512573	0.700854498257502	44.57919101805288	0.9185036521265321	182	43	110	3	2
