panel	sample	method	delta_F1	delta_L1_union_pp	delta_Pearson_union	TP_delta	FP_delta	FN_delta	rescued_species	rescued_TP	rescued_FP
hmp_airskin_gtdb_source_abundance	18	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.019566736547868557	-0.7520004191538696	0.0004341390738562545	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	19	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0074866625401598386	0.0	1.420727269341171e-05	3	2	-3	0	0	0
hmp_airskin_gtdb_source_abundance	19	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0074866625401598386	0.8665714356929115	0.00025308618138475403	3	2	-3	0	0	0
hmp_airskin_gtdb_source_abundance	20	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	20	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	21	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	21	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	22	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	22	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	23	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	23	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	24	wrapper_accession-current-or-ani93-xny650-br20_zero	0.03827751196172258	0.0	0.0	2	0	-2	0	0	0
