method	panel	sample	source_profile	adjusted_profile	alpha	cap_sample_base_frac	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	capped_genus_count	min_effective_alpha	base_raw_mass_before	base_raw_mass_after	candidate_raw_mass_before	candidate_raw_mass_after	called_raw_mass_before	called_raw_mass_after
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample0.genus_xny_a0.05.tsv	0.05		36	0	36	21	0	0.05	408.9642011941639	408.96420119416405	0.0	0.0	408.9642011941639	408.96420119416405
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	1	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample1.genus_xny_a0.05.tsv	0.05		99	0	99	54	0	0.05	797.3620335604977	797.3620335604979	0.0	0.0	797.3620335604977	797.3620335604979
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	3	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample3.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample3.genus_xny_a0.05.tsv	0.05		47	0	47	34	0	0.05	843.9592241304858	843.959224130486	0.0	0.0	843.9592241304858	843.959224130486
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	4	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample4.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample4.genus_xny_a0.05.tsv	0.05		137	0	137	101	0	0.05	699.6853467325391	699.6853467325392	0.0	0.0	699.6853467325391	699.6853467325392
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	5	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample5.genus_xny_a0.05.tsv	0.05		26	0	26	14	0	0.05	573.7486646829607	573.7486646829606	0.0	0.0	573.7486646829607	573.7486646829606
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	6	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample6.genus_xny_a0.05.tsv	0.05		17	1	16	2	0	0.05	982.4895310475591	982.4895310475591	12.345963447143628	12.345963447143628	994.8354944947027	994.8354944947027
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	7	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample7.genus_xny_a0.05.tsv	0.05		89	0	89	69	0	0.05	687.4666704624319	687.4666704624319	0.0	0.0	687.4666704624319	687.4666704624319
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	9	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample9.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample9.genus_xny_a0.05.tsv	0.05		102	0	102	70	0	0.05	699.3135248795265	699.3135248795268	0.0	0.0	699.3135248795265	699.3135248795268
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	10	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample10.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample10.genus_xny_a0.05.tsv	0.05		69	0	69	46	0	0.05	544.9605847625855	544.9605847625853	0.0	0.0	544.9605847625855	544.9605847625853
genus_xny_a0.05	hmp_airskin_gtdb_source_abundance	11	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample11.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/hmp_airskin_gtdb_source_abundance.sample11.genus_xny_a0.05.tsv	0.05		32	0	32	20	0	0.05	721.1873437604959	721.1873437604959	0.0	0.0	721.1873437604959	721.1873437604959
