method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
s_ani_ge_0.93	4	32	0.004265504305984467	-0.13798831481269325	17	9	-0.028779192059800507	-0.12311970113669268	2	2	-3.6147183422369245	0.7821812082150217	0.0030656349237277135	f1_tradeoff_not_default
drop_prob_lt_0.9_and_realaf_lt_0.2	4	32	0.002171626324348197	-0.20486639796984618	12	9	-0.05832738387946662	-0.18579241672272007	1	3	-1.1155121068990588	0.42791410590292855	0.0009201291669407551	f1_tradeoff_not_default
drop_prob_lt_0.9_and_xny_lt_200	4	32	0.002171626324348197	-0.20486639796984618	12	9	-0.05832738387946662	-0.18579241672272007	1	3	-1.1155121068990588	0.42791410590292855	0.0009201291669407551	f1_tradeoff_not_default
drop_prob_lt_0.5_and_breadth_lt_0.3	4	32	0.019363868107397285	-0.11138437995299777	14	10	-0.015873978661096078	-0.08490370143115755	1	3	-2.0360400521228454	1.423516322878065	0.0018429225771769454	f1_tradeoff_not_default
split_unique_breadth_ratio_le_2	4	32	0.010882433307476506	-0.04729064039408859	16	10	-0.006953952329195268	-0.027010333757714555	1	3	-2.3139895634272896	13.936502441495165	0.0009771352629344143	f1_tradeoff_not_default
drop_prob_lt_0.5_and_xny_lt_500	4	32	0.021267147763340762	-0.12267697926737564	15	11	-0.012431904314844311	-0.0886679012026168	2	2	-2.2685213918717806	0.7326307232580582	0.002121777741290482	f1_tradeoff_not_default
drop_prob_lt_0.9_and_breadth_lt_0.2	4	32	0.010485631811652747	-0.23969570368522797	16	11	-0.05872441069401857	-0.19818011533456614	2	2	-3.592531389308779	1.2199490204635346	0.0026921823303091216	f1_tradeoff_not_default
drop_prob_lt_0.9_and_realaf_lt_0.3	4	32	0.0038608458985959423	-0.2347906403940887	15	11	-0.064479754603604	-0.1982812609401685	2	2	-2.5437471968095005	1.6394379865438822	0.0018752453375144341	f1_tradeoff_not_default
split_unique_xny_ratio_le_5	4	32	0.002009407475469755	-0.05984104721832639	12	11	-0.010921304993690456	-0.04122411549664118	1	2	-1.9385113026690188	6.380367519981917	0.0013769081329357905	f1_tradeoff_not_default
min_breadth_ge_0.1	4	32	0.005028642970785927	-0.2670604198260038	15	12	-0.07955415362707202	-0.2666870130388952	2	2	-3.3318150589375404	2.3168007261363783	0.00251144350215075	f1_tradeoff_not_default
