panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_Pearson_union	mean_added_mass_before_norm
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.511826913689543	0.9809603090399731	0.0004815
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.47581293695443	0.981012443141459	0.0012759166666666665
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.446150556167183	0.9810427194294778	0.0016247500000000001
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.428413414440467	0.9810774764408693	0.0018330833333333333
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.421593609537194	0.9810913152083991	0.0019399999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.421593609537194	0.9810913152083991	0.0019399999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha5	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51238727867413	0.9811136790845923	0.00485
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51245483113213	0.9809602224161548	0.00046991666666666666
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.484727939584605	0.9809959950968069	0.0008332083333333334
hmp_airskin_gtdb_source_abundance	normalized_depth_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.477583567443435	0.9810127417293719	0.0009165416666666666
