method	sample_key	dataset	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	FP_plus_FN	L1	Pearson	tp_abundance_n	added	abundance_mode	source	p_extra	count_ratio	base_n	prob035_n	old_mode	median_uaf	tail_rule_triggered	tail_rescue_added_n	tail_rescue_median_uaf_threshold	tail_rescue_probability_threshold	prob_min	s_xny_min	s_ani_min	s_af_min	s_breadth_min	s_mean_depth_min	topn_per_genus
baseline_tail_low_uaf_probability	plant_holdout5	plant_holdout	55	64	35	29	20	0.546875	0.6363636363636364	0.5882352941176472	49	0.9470244251636232	0.7780331803523597	35	0	tail_safe	cached20	0.08354033206871143	1.3617021276595744	47	64	probability	0.209	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	plant_holdout5	plant_holdout	55	67	35	32	20	0.5223880597014925	0.6363636363636364	0.5737704918032788	52	1.0340609822347713	0.7780331803523597	35	3	tail_safe	cached20	0.08354033206871143	1.3617021276595744	47	64	probability	0.209	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	plant_holdout5	plant_holdout	55	67	35	32	20	0.5223880597014925	0.6363636363636364	0.5737704918032788	52	1.251840489058735	0.37350914911412175	35	3	zip_p025	cached20	0.08354033206871143	1.3617021276595744	47	64	probability	0.209	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	airskin_skin28	hmp_airskin	13	15	12	3	1	0.8	0.9230769230769231	0.8571428571428571	4	0.2848639179296868	0.9972517310763414	12	0	tail_safe	cached20	0.0	0.8571428571428571	14	12	base	0.6074999999999999	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	airskin_skin28	hmp_airskin	13	15	12	3	1	0.8	0.9230769230769231	0.8571428571428571	4	0.2848639179296868	0.9972517310763414	12	0	tail_safe	cached20	0.0	0.8571428571428571	14	12	base	0.6074999999999999	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	airskin_skin28	hmp_airskin	13	15	12	3	1	0.8	0.9230769230769231	0.8571428571428571	4	0.3578500143462816	0.9889939362382617	12	0	zip_p025	cached20	0.0	0.8571428571428571	14	12	base	0.6074999999999999	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	airskin_urogenital6	hmp_urogenital	15	19	15	4	0	0.7894736842105263	1.0	0.8823529411764706	4	0.5575938393862196	0.975201516394117	15	0	tail_safe	cached20	0.004620130928768617	0.9473684210526315	19	18	base	0.51	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	airskin_urogenital6	hmp_urogenital	15	19	15	4	0	0.7894736842105263	1.0	0.8823529411764706	4	0.5575938393862196	0.975201516394117	15	0	tail_safe	cached20	0.004620130928768617	0.9473684210526315	19	18	base	0.51	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	airskin_urogenital6	hmp_urogenital	15	19	15	4	0	0.7894736842105263	1.0	0.8823529411764706	4	0.6241281652742915	0.9469797265211127	15	0	zip_p025	cached20	0.004620130928768617	0.9473684210526315	19	18	base	0.51	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	airskin_airways11	hmp_airways	34	49	29	20	5	0.5918367346938775	0.8529411764705882	0.6987951807228915	25	0.625066535024569	0.8158717334035734	29	0	tail_safe	cached20	0.023839244825817153	1.4411764705882353	34	49	probability	0.5235000000000001	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
