route	rule	pooled_F1	base_pooled_F1	delta_pooled_F1	mean_delta_F1	worsened_samples	improved_samples	TP	FP	FN	added_species	added_TP	added_FP
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.20_depth2	0.7879428873611846	0.7808292945611202	0.0071135928000644055	0.007230780405701724	0	3	745	196	205	34	20	14
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.20_depth5	0.7815845824411136	0.7808292945611202	0.0007552878799934604	0.0005310182085629759	1	2	730	188	220	11	5	6
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.30	0.7939330543933053	0.7808292945611202	0.013103759832185147	0.012846144381525981	0	3	759	203	191	55	34	21
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.30_depth2	0.7891949152542372	0.7808292945611202	0.008365620693117082	0.008448012510993622	0	3	745	193	205	31	20	11
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.30_depth5	0.7824222936763129	0.7808292945611202	0.001592999115192728	0.0013904985869278945	1	2	730	186	220	9	5	4
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.05	0.7947089947089947	0.7808292945611202	0.01387970014787454	0.013888791699161832	0	3	751	189	199	33	26	7
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.10	0.7947089947089947	0.7808292945611202	0.01387970014787454	0.013888791699161832	0	3	751	189	199	33	26	7
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.20	0.7947089947089947	0.7808292945611202	0.01387970014787454	0.013888791699161832	0	3	751	189	199	33	26	7
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.20_depth2	0.7900053163211058	0.7808292945611202	0.009176021759985664	0.009290219810074904	0	3	743	188	207	24	18	6
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.20_depth5	0.7824222936763129	0.7808292945611202	0.001592999115192728	0.0015240668679472602	0	3	730	186	220	9	5	4
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.30	0.7951296982530438	0.7808292945611202	0.014300403691923647	0.01425382757751518	0	3	751	188	199	32	26	6
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.30_depth2	0.7904255319148936	0.7808292945611202	0.009596237353773462	0.009654468426312271	0	3	743	187	207	23	18	5
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.30_depth5	0.7828418230563002	0.7808292945611202	0.002012528495180077	0.0018879579906873056	0	3	730	185	220	8	5	3
marine_setup_truth_profile_rescore	raw_ani0.93_xny650_breadth0.50	0.7963944856839873	0.7808292945611202	0.015565191122867139	0.01559351845995586	0	3	751	185	199	29	26	3
marine_setup_truth_profile_rescore	raw_ani0.95_xny100_breadth0.05	0.8370951913640826	0.7808292945611202	0.056265896802962456	0.05641655272140489	0	3	853	235	97	181	128	53
marine_setup_truth_profile_rescore	raw_ani0.95_xny100_breadth0.10	0.8326732673267326	0.7808292945611202	0.05184397276561248	0.052206918006187895	0	3	841	229	109	163	116	47
marine_setup_truth_profile_rescore	raw_ani0.95_xny100_breadth0.20	0.8156822810590633	0.7808292945611202	0.034852986497943106	0.03470943957031691	0	3	801	213	149	107	76	31
marine_setup_truth_profile_rescore	raw_ani0.95_xny100_breadth0.30	0.8066184074457083	0.7808292945611202	0.025789112884588183	0.025694144124430347	0	3	780	204	170	77	55	22
marine_setup_truth_profile_rescore	raw_ani0.95_xny100_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
