sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
7	lopo_hgb_log_l2_1_blend0.75	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.939926755663451	5.850619457196088	0.9984259994656047	0.9984264223046386	cami2_toy_mouse_gut	5.850619457196088	0.9984264223046386	5.826327372590053	0.9984274174395251	0.024292084606035047	-9.951348864944976e-07
5	lopo_hgb_log_l2_1_blend0.5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.201195971808648	15.428574668752349	0.9913872624503266	0.9917558153477449	cami2_toy_mouse_gut	15.428574668752349	0.9917558153477449	15.414228172609581	0.9917478920123489	0.014346496142767506	7.923335396009534e-06
6	lopo_hgb_log_l2_1_blend0.5	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.960537904292895	20.101938484985045	0.9728597683119833	0.9736331506844428	cami2_toy_mouse_gut	20.101938484985045	0.9736331506844428	20.062955823580985	0.9737545137280396	0.03898266140405937	-0.0001213630435967783
7	lopo_hgb_log_l2_1_blend0.5	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.913912645310851	5.8245790825882	0.998427365804571	0.9984278205626812	cami2_toy_mouse_gut	5.8245790825882	0.9984278205626812	5.826327372590053	0.9984274174395251	-0.001748290001852837	4.031231560785997e-07
5	lopo_hgb_log_l2_1_blend0.25	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.190982306798396	15.419001513193429	0.9913823763410574	0.9917505413006868	cami2_toy_mouse_gut	15.419001513193429	0.9917505413006868	15.414228172609581	0.9917478920123489	0.004773340583847485	2.6492883379303223e-06
6	lopo_hgb_log_l2_1_blend0.25	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.932151250845212	20.075654661152527	0.972941852122275	0.9737140964025118	cami2_toy_mouse_gut	20.075654661152527	0.9737140964025118	20.062955823580985	0.9737545137280396	0.012698837571541333	-4.0417325527730696e-05
7	lopo_hgb_log_l2_1_blend0.25	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.908590871415025	5.8192485155600755	0.9984271698468513	0.9984276341272097	cami2_toy_mouse_gut	5.8192485155600755	0.9984276341272097	5.826327372590053	0.9984274174395251	-0.00707885702997757	2.1668768457328014e-07
5	lopo_rf_log_leaf3_blend1	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	20.44240629839998	18.529187351315347	0.9971773015337045	0.9976199437779744	cami2_toy_mouse_gut	18.529187351315347	0.9976199437779744	15.414228172609581	0.9917478920123489	3.1149591787057656	0.005872051765625441
6	lopo_rf_log_leaf3_blend1	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	30.32923750299584	27.494132937063853	0.9820027428991189	0.9826865605298734	cami2_toy_mouse_gut	27.494132937063853	0.9826865605298734	20.062955823580985	0.9737545137280396	7.4311771134828675	0.008932046801833793
7	lopo_rf_log_leaf3_blend1	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	25.70153843994912	25.63556750059047	0.982510938137441	0.9825178000599998	cami2_toy_mouse_gut	25.63556750059047	0.9825178000599998	5.826327372590053	0.9984274174395251	19.809240128000415	-0.015909617379525343
