method	rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	xny_max_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	s_xny_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	xny_max_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	xny_max_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	s_xny_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	xny_max_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	xny_max_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	s_xny_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	xny_max_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	xny_max_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	s_xny_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	xny_max_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	xny_max_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	reported_ani_median	<=	1.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
