panel	sample	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	candidate_present	profile_path	candidate_called	candidate_probability	candidate_threshold	candidate_abundance	candidate_abundance_raw	candidate_best_XnY	candidate_best_breadth	candidate_best_real_min_af	candidate_best_depth	candidate_best_zip_af	candidate_best_zip_aaf_ani	mapping_method	taxid	species_name
hmp_airskin_gtdb_source_abundance	19	s__Rothia sp001808955	0.0022026431718061125	0.22026431718061126	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	19	s__Streptococcus salivarius_G	0.0022026431718061125	0.22026431718061126	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	3	s__Lactobacillus sp910589675	0.0021739130434783034	0.21739130434783033	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_D	0.0019654810335066114	0.19654810335066114	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	25	s__Limosilactobacillus reuteri_L	0.0019646365422395034	0.19646365422395035	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	25	s__Limosilactobacillus reuteri_J	0.0019646365422395034	0.19646365422395035	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	6	s__Prevotella oulorum	0.0012064805239581126	0.12064805239581126	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.1541138532472929	0.35	0.0	4.6572429826367445	294.0	0.230923	0.294	1.085771	0.233136	0.933812	species_name	s__Prevotella oulorum	s__Prevotella oulorum
cami2_toy_mouse_gut	6	s__Bacteroides stercoris	0.0012064805239581126	0.12064805239581126	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.5230766764997077	0.35	0.0	0.7846135354651282	321.0	0.212605	0.321	0.306809	0.391032	0.95732	species_name	s__Bacteroides stercoris	s__Bacteroides stercoris
cami2_toy_mouse_gut	6	s__Bacteroides hominis	0.0011112047857384118	0.11112047857384118	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.250534124389849	0.35	0.0	2.3295057742155407	398.0	0.260829	0.398	0.673127	0.288957	0.943569	species_name	s__Bacteroides hominis	s__Bacteroides hominis
hmp_airskin_gtdb_source_abundance	7	s__Helicobacter pylori_BU	0.001021174510089103	0.1021174510089103	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	7	s__Helicobacter pylori	0.001021174510089103	0.1021174510089103	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	7	s__Helicobacter pylori_CM	0.001021174510089103	0.1021174510089103	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	5	s__Prevotella oulorum	0.0009715475364338082	0.09715475364338082	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.2380177565185811	0.35	0.0	3.338127668225249	247.0	0.189774	0.247	0.65681	0.19676	0.926101	species_name	s__Prevotella oulorum	s__Prevotella oulorum
